id,season,city ,date,team1,team2,toss_winner,toss_decision,winner,winner_by_runs,winner_by_wickets,player_of_match,venue,umpire 1,umpire 2,tv-umpire,no_result,tie,result,dl-applied
1252666,2021,London,7/22/2021,Oval Invincibles,Manchester Originals,Manchester Originals,field,Oval Invincibles,9,,SW Billings,"Kennington Oval, London",DJ Millns,MJ Saggers,NJ Llong,0,0,normal ,0
1252667,2021,Birmingham,7/23/2021,London Spirit,Birmingham Phoenix,Birmingham Phoenix,field,Birmingham Phoenix,,3,Z Crawley,"Edgbaston, Birmingham",GD Lloyd,RT Robinson,NL Bainton,0,0,normal ,0
1252668,2021,Nottingham,7/24/2021,Southern Brave,Trent Rockets,Southern Brave,bat,Trent Rockets,,9,M de Lange,"Trent Bridge,Nottingham",DJ Millns,RJ Warren,RT Robinson,0,0,normal ,0
1252669,2021,Leeds,7/24/2021,Welsh Fire,Northern Superchargers,Northern Superchargers,field,Welsh Fire,5,,Qais Ahmad,"Headingley, Leeds",NA Mallender,NJ Llong,MJ Saggers,0,0,normal ,0
1252671,2021,Manchester,7/25/2021,Birmingham Phoenix,Manchester Originals,Birmingham Phoenix,bat,Manchester Originals,,6,MW Parkinson,"Old Trafford, Manchester",AG Wharf,SJ O'Shaughnessy,NJ Llong,0,0,normal ,0
1252672,2021,Nottingham,7/26/2021,Northern Superchargers,Trent Rockets,Northern Superchargers,bat,Trent Rockets,,2,Rashid Khan,"Trent Bridge,Nottingham",RJ Warren,RT Robinson,MJ Saggers,0,0,normal ,0
1252673,2021,Cardiff,7/27/2021,Welsh Fire,Southern Brave,Southern Brave,field,Welsh Fire,18,,JM Bairstow,"Sophia Gardens, Cardiff",NJ Llong,RJ Bailey,NL Bainton,0,0,normal ,0
1252675,2021,London,7/29/2021,Trent Rockets,London Spirit,London Spirit,field,Trent Rockets,7,,DJM Short,"Lord's, London",AG Wharf,NJ Llong,PK Baldwin,0,0,normal ,0
1252676,2021,Southampton,7/30/2021,Birmingham Phoenix,Southern Brave,Southern Brave,field,Southern Brave,,4,JM Vince,"The Rose Bowl, Southampton",DJ Millns,MJ Saggers,NL Bainton,0,0,normal ,0
1252677,2021,Cardiff,7/31/2021,Welsh Fire,Manchester Originals,Welsh Fire,bat,Manchester Originals,,7,JM Clarke,"Sophia Gardens, Cardiff",RJ Bailey,RT Robinson,PK Baldwin,0,0,normal ,0
